run,stage,metric,count,mean,median,p90,p95,p99,max
Neo,uq_candidate,uq_qbc_for,21254,0.06507396215625562,0.0610821258928531,0.0871238197464708,0.09877969876096052,0.13317786114180025,0.2975329401395971
Neo,uq_candidate,uq_rnd_for_rescaled,21254,0.06551966701805893,0.06024339966107385,0.08958008193570127,0.10300967367786357,0.14146834179997234,0.2858991489195536
Neo,uq_candidate,uq_rnd_for,21254,0.11085725500163712,0.10231959500808441,0.1497900133272152,0.17152077115073885,0.23375170260586392,0.4674587989964456
Neo,final_selected,uq_qbc_for,354,0.06714674645054441,0.05948336762233805,0.09661275320007179,0.11328855672704208,0.16050556165624524,0.252754675279664
Neo,final_selected,uq_rnd_for_rescaled,354,0.07103728193529626,0.06286865484077425,0.10251291963796857,0.12600416002035728,0.17055872499812105,0.2158603358428084
Neo,final_selected,uq_rnd_for,354,0.11978544551047542,0.10656758598430399,0.1707169610315582,0.208728723825598,0.28082357823763127,0.3541272462255988
Air,uq_candidate,uq_qbc_for,19728,0.06397878781592636,0.05853283556931605,0.0878281582498084,0.10028459058590543,0.15974706045631437,0.2968931562485234
Air,uq_candidate,uq_rnd_for_rescaled,19728,0.0634218171150144,0.058896084491543405,0.08410532928141713,0.09813134964245872,0.14186383154485988,0.2719831285868162
Air,uq_candidate,uq_rnd_for,19728,0.111325525679448,0.10311991238273349,0.14882683576020617,0.17425743644962133,0.2535488716386154,0.4894683840793958
Air,final_selected,uq_qbc_for,440,0.06504190126420452,0.05855443267096485,0.09151991506515196,0.10531379765017297,0.16416430799186635,0.2701100605076517
Air,final_selected,uq_rnd_for_rescaled,440,0.065265047519496,0.0585034695775942,0.08805074358400397,0.10346325682782842,0.15806086792528243,0.2587928676593097
Air,final_selected,uq_rnd_for,440,0.11466748977107001,0.1024080616336013,0.15598027295056416,0.18392472617641967,0.2829157450595712,0.4655531001997064
Plus,uq_candidate,uq_qbc_for,17852,0.056635972195279584,0.05016403412357435,0.08260509360028256,0.10272826382319396,0.1689891983559239,0.283798922220105
Plus,uq_candidate,uq_rnd_for_rescaled,17852,0.05546432513885058,0.048286358766943,0.08126510754436929,0.09861030477098662,0.15668198704511646,0.2837135664203551
Plus,uq_candidate,uq_rnd_for,17852,0.0982903435470243,0.08522743207023406,0.14524421866049173,0.17681009180327067,0.2824925658566628,0.5136725672885439
Plus,final_selected,uq_qbc_for,523,0.058471127223788534,0.0524522054140738,0.08277007796099847,0.09655605816561773,0.17489851908212586,0.2429956344705712
Plus,final_selected,uq_rnd_for_rescaled,523,0.055608844971169615,0.0490583783157663,0.07607474110050982,0.09206980623659289,0.17869688662730807,0.2285769235633831
Plus,final_selected,uq_rnd_for,523,0.09855334976332712,0.0866324014587923,0.1357984656609245,0.1649072841078711,0.3225566549750087,0.4133314612634662
